"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Failed login due to insertion of numerical data","SUCCESS","2023-09-27T11:53:16.772-05:00[America/Bogota]","0.0","17.76"
"Login","Login failed due to insertion of special characters","SUCCESS","2023-09-27T11:53:35.321-05:00[America/Bogota]","0.0","18.43"
"Login","Login Fail Email","SUCCESS","2023-09-27T11:53:54.519-05:00[America/Bogota]","0.0","16.54"
"Login","Login Empty email Field","SUCCESS","2023-09-27T11:54:41.442-05:00[America/Bogota]","0.0","16.35"
"Login","Login Empty Password Field","SUCCESS","2023-09-27T11:54:58.513-05:00[America/Bogota]","0.0","21.86"
