"Story","Title","Result","Date","Stability","Duration (s)"
"Register","registration failed due to special characters","SUCCESS","2023-09-27T12:00:42.761-05:00[America/Bogota]","0.0","12.57"
"Register","Failed to register, empty fields in enter password","SUCCESS","2023-09-27T17:43:29.869-05:00[America/Bogota]","0.0","19.59"
"Register","Successful register","SUCCESS","2023-09-27T17:43:50.277-05:00[America/Bogota]","0.0","18.01"
"Register","Failed registration due to numerical data","SUCCESS","2023-09-27T17:44:09.008-05:00[America/Bogota]","0.0","13.78"
"Register","Failed Registration due to special characters","SUCCESS","2023-09-27T17:44:23.516-05:00[America/Bogota]","0.0","12.22"
"Register","Register Fail","SUCCESS","2023-09-27T17:44:36.46-05:00[America/Bogota]","0.0","12.63"
"Register","Failed registration empty fields in email","SUCCESS","2023-09-27T17:44:49.852-05:00[America/Bogota]","0.0","14.91"
"Register","Registration failed, empty password fields","SUCCESS","2023-09-27T17:45:05.5-05:00[America/Bogota]","0.0","14.71"
